Week,Home Team,Home Score,Away Team,Away Score,Winner
1,Team Blecherbeast ,84.66,Roy’s Foreskin,134.58,Roy’s Foreskin
1,call me if you  get mossed,78.94,Aj's Grindr account,117.6,Aj's Grindr account
1,Cleveland Lives Matter ✊🏿,120.66,Mr Aj,135.34,Mr Aj
1,Young Spanish Lover Boys,86.34,Chubb Guzzlers,104.94,Chubb Guzzlers
1,Co(k Commanders,126.74,Bowdoin Bears,165.06,Bowdoin Bears
1,Djibouti Biddi suggers,100.76,Pumpers and Strokers,112.3,Pumpers and Strokers
2,Roy’s Foreskin,115.72,Aj's Grindr account,148.74,Aj's Grindr account
2,Mr Aj,126.86,Team Blecherbeast ,164.78,Team Blecherbeast 
2,Cleveland Lives Matter ✊🏿,136.3,call me if you  get mossed,139.4,call me if you  get mossed
2,Chubb Guzzlers,122.84,Bowdoin Bears,150.0,Bowdoin Bears
2,Pumpers and Strokers,103.52,Young Spanish Lover Boys,138.46,Young Spanish Lover Boys
2,Djibouti Biddi suggers,125.66,Co(k Commanders,105.44,Djibouti Biddi suggers
3,Mr Aj,160.96,Roy’s Foreskin,145.54,Mr Aj
3,Aj's Grindr account,171.0,Cleveland Lives Matter ✊🏿,126.66,Aj's Grindr account
3,Team Blecherbeast ,172.24,call me if you  get mossed,129.68,Team Blecherbeast 
3,Pumpers and Strokers,92.38,Chubb Guzzlers,84.36,Pumpers and Strokers
3,Bowdoin Bears,137.3,Djibouti Biddi suggers,117.68,Bowdoin Bears
3,Young Spanish Lover Boys,181.92,Co(k Commanders,104.06,Young Spanish Lover Boys
4,Roy’s Foreskin,186.68,Cleveland Lives Matter ✊🏿,80.94,Roy’s Foreskin
4,call me if you  get mossed,75.12,Mr Aj,63.68,call me if you  get mossed
4,Team Blecherbeast ,127.54,Aj's Grindr account,151.72,Aj's Grindr account
4,Chubb Guzzlers,140.7,Djibouti Biddi suggers,97.56,Chubb Guzzlers
4,Co(k Commanders,119.48,Pumpers and Strokers,144.96,Pumpers and Strokers
4,Young Spanish Lover Boys,149.1,Bowdoin Bears,155.38,Bowdoin Bears
5,call me if you  get mossed,68.44,Roy’s Foreskin,102.42,Roy’s Foreskin
5,Cleveland Lives Matter ✊🏿,153.82,Team Blecherbeast ,122.14,Cleveland Lives Matter ✊🏿
5,Mr Aj,156.82,Aj's Grindr account,95.24,Mr Aj
5,Co(k Commanders,130.4,Chubb Guzzlers,98.38,Co(k Commanders
5,Djibouti Biddi suggers,138.86,Young Spanish Lover Boys,170.64,Young Spanish Lover Boys
5,Pumpers and Strokers,180.22,Bowdoin Bears,144.44,Pumpers and Strokers
6,Roy’s Foreskin,154.48,Chubb Guzzlers,80.62,Roy’s Foreskin
6,Team Blecherbeast ,130.12,Young Spanish Lover Boys,144.56,Young Spanish Lover Boys
6,Aj's Grindr account,96.1,Bowdoin Bears,112.48,Bowdoin Bears
6,Mr Aj,150.68,Pumpers and Strokers,110.1,Mr Aj
6,Cleveland Lives Matter ✊🏿,114.54,Djibouti Biddi suggers,135.74,Djibouti Biddi suggers
6,call me if you  get mossed,99.34,Co(k Commanders,105.04,Co(k Commanders
